N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
0,0,1,1,0,1,0,0,1,0,0,0,1,5,NA,NA,2081.72,2303.85,NA
1,0,0,1,0,1,0,0,1,0,0,0,1,5,6270.94,NA,NA,3541.98,NA
0,0,1,0,1,1,0,0,1,0,0,0,0,5,NA,NA,2135.76,NA,6040.86
1,0,1,0,0,1,0,0,1,0,0,0,0,5,834,NA,8879.88,NA,NA
1,0,0,0,2,1,0,0,1,0,0,0,1,5,13940.29,NA,NA,NA,1035.355
0,1,0,1,0,1,0,0,1,0,0,0,0,5,NA,21170.5,NA,2617.55,NA
0,1,1,0,0,1,0,0,1,0,0,0,1,5,NA,10753.51,13500,NA,NA
1,0,0,0,3,1,0,0,1,0,0,0,0,5,1356.6,NA,NA,NA,10141.33
1,0,0,3,0,1,1,0,0,0,0,0,1,5,1293.44,NA,NA,11840.91,NA
0,1,1,0,0,1,1,0,0,0,0,1,0,5,NA,1580.5,2267.65,NA,NA
0,1,0,0,2,1,1,0,0,0,0,0,1,5,NA,18885,NA,NA,6678.195
0,0,3,1,0,1,1,0,0,0,0,0,1,5,NA,NA,9056.603333,2561.21,NA
0,0,0,1,3,1,1,0,0,0,0,0,1,5,NA,NA,NA,6953.91,1728.523333
0,2,0,0,1,1,1,0,0,0,0,0,1,5,NA,5005.93,NA,NA,3000
0,1,0,1,0,1,1,0,0,0,0,1,0,5,NA,1593.7,NA,1862.23,NA
0,1,1,0,0,1,1,0,0,0,0,0,1,5,NA,17783,4997.38,NA,NA
0,1,1,0,0,1,0,0,0,1,0,0,1,5,NA,2335.27,1986.89,NA,NA
0,0,1,1,0,1,0,0,0,1,0,1,0,5,NA,NA,22775.84,4218.3,NA
0,0,0,1,2,1,0,0,0,1,0,1,0,5,NA,NA,NA,2309.3,639.565
0,1,1,0,0,1,0,0,0,0,1,0,1,5,NA,1782.57,3704.36,NA,NA
1,1,0,0,0,1,0,0,0,0,1,0,1,5,1472.9,26722.87,NA,NA,NA
1,0,1,0,0,1,0,0,0,0,1,1,0,5,7816.39,NA,4124.22,NA,NA
0,0,1,0,1,1,0,0,0,0,1,1,0,5,NA,NA,1385.18,NA,3591.67
1,0,0,1,0,1,0,0,0,0,1,0,1,5,1400,NA,NA,46813,NA
0,2,1,0,0,1,0,0,0,0,1,0,1,5,NA,4755.735,11756.59,NA,NA
1,0,1,0,0,1,0,0,0,0,1,0,1,5,21450.9,NA,3418,NA,NA
2,0,2,0,0,1,0,0,0,0,1,0,1,5,3177.89,NA,5958.87,NA,NA
1,1,0,0,0,1,0,0,0,0,1,1,0,5,2620,3677.98,NA,NA,NA
0,1,0,0,1,1,0,0,0,0,1,1,0,5,NA,11200,NA,NA,9092.26
0,0,1,2,0,1,0,0,0,0,0,1,0,5,NA,NA,3859.24,783.85,NA
0,NA,0,0,1,1,0,0,1,0,0,0,0,4,NA,NA,NA,NA,2723.57
NA,0,0,1,0,1,0,0,1,0,0,0,0,4,NA,NA,NA,2873.5,NA
1,0,0,0,NA,1,0,0,1,0,0,1,0,4,8936.19,NA,NA,NA,NA
NA,1,0,0,0,1,0,0,0,0,1,1,0,4,NA,1091,NA,NA,NA
0,1,0,0,NA,1,0,0,0,0,1,0,1,4,NA,1347.64,NA,NA,NA
NA,0,1,0,0,1,0,0,0,0,1,0,0,4,NA,NA,600.13,NA,NA
0,0,0,0,1,1,0,1,0,0,0,0,1,5,NA,NA,NA,NA,15861.64
0,0,0,0,1,1,0,1,0,0,0,0,1,5,NA,NA,NA,NA,1315.29
0,0,0,0,1,1,0,0,1,0,0,0,1,5,NA,NA,NA,NA,12764.36
2,0,0,0,0,1,0,0,1,0,0,0,0,5,4449.67,NA,NA,NA,NA
0,0,2,0,0,1,0,0,1,0,0,0,0,5,NA,NA,1426.39,NA,NA
0,0,0,1,0,1,0,0,1,0,0,0,0,5,NA,NA,NA,4932.01,NA
1,0,0,0,0,1,0,0,1,0,0,1,0,5,2423.25,NA,NA,NA,NA
0,0,0,0,1,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,10234.9
0,0,0,1,0,1,0,0,1,0,0,1,0,5,NA,NA,NA,1411.67,NA
0,0,1,0,0,1,0,0,1,0,0,0,1,5,NA,NA,3618.54,NA,NA
0,0,0,0,1,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,600
1,0,0,0,0,1,0,0,1,0,0,1,0,5,3659.95,NA,NA,NA,NA
0,2,0,0,0,1,0,0,1,0,0,1,0,5,NA,8484.88,NA,NA,NA
0,0,1,0,0,1,0,0,1,0,0,0,0,5,NA,NA,1554.85,NA,NA
0,0,0,1,0,1,0,0,1,0,0,1,0,5,NA,NA,NA,1272.25,NA
0,1,0,0,0,1,0,0,1,0,0,0,0,5,NA,24408,NA,NA,NA
0,0,0,0,2,1,0,0,1,0,0,0,0,5,NA,NA,NA,NA,2825.96
1,0,0,0,0,1,0,0,1,0,0,0,0,5,2472.48,NA,NA,NA,NA
1,0,0,0,0,1,0,0,1,0,0,0,0,5,11702.95,NA,NA,NA,NA
1,0,0,0,0,1,0,0,1,0,0,1,0,5,20698.5,NA,NA,NA,NA
1,0,0,0,0,1,0,0,1,0,0,1,0,5,1209.2,NA,NA,NA,NA
0,0,1,0,0,1,0,0,1,0,0,1,0,5,NA,NA,1024.32,NA,NA
1,0,0,0,0,1,0,0,1,0,0,1,0,5,3788.21,NA,NA,NA,NA
0,0,1,0,0,1,0,0,1,0,0,0,0,5,NA,NA,1301,NA,NA
1,0,0,0,0,1,0,0,1,0,0,0,0,5,3589.18,NA,NA,NA,NA
0,0,1,0,0,1,0,0,1,0,0,1,0,5,NA,NA,2627.44,NA,NA
0,1,0,0,0,1,0,0,1,0,0,0,0,5,NA,6357.07,NA,NA,NA
0,0,0,0,1,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,2118.77
0,1,0,0,0,1,0,0,1,0,0,0,0,5,NA,661.8,NA,NA,NA
0,0,0,1,0,1,0,0,1,0,0,0,1,5,NA,NA,NA,2341.95,NA
0,0,1,0,0,1,0,0,1,0,0,0,1,5,NA,NA,25900,NA,NA
0,0,0,0,1,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,2158
1,0,0,0,0,1,0,0,1,0,0,1,0,5,17895,NA,NA,NA,NA
0,0,0,0,1,1,0,0,1,0,0,0,0,5,NA,NA,NA,NA,90
0,0,0,0,1,1,0,0,1,0,0,1,0,5,NA,NA,NA,NA,2826.59
1,0,0,0,0,1,0,0,1,0,0,1,0,5,927.64,NA,NA,NA,NA
0,0,0,0,1,1,0,0,1,0,0,0,0,5,NA,NA,NA,NA,2844.97
1,0,0,0,0,1,0,0,1,0,0,0,0,5,779.25,NA,NA,NA,NA
0,0,1,0,0,1,0,0,1,0,0,0,1,5,NA,NA,3227.82,NA,NA
1,0,0,0,0,1,0,0,1,0,0,0,0,5,6599.16,NA,NA,NA,NA
0,3,0,0,0,1,0,0,1,0,0,0,1,5,NA,2966.053333,NA,NA,NA
0,1,0,0,0,1,0,0,1,0,0,0,0,5,NA,1245.55,NA,NA,NA
0,1,0,0,0,1,0,0,1,0,0,0,1,5,NA,2579.55,NA,NA,NA
0,0,0,1,0,1,0,0,1,0,0,1,0,5,NA,NA,NA,5250,NA
0,0,1,0,0,1,0,0,1,0,0,1,0,5,NA,NA,2155.36,NA,NA
0,0,0,0,1,1,0,0,1,0,0,0,0,5,NA,NA,NA,NA,2000
0,0,0,0,1,1,1,0,0,0,0,1,0,5,NA,NA,NA,NA,1593.58
0,0,0,0,1,1,1,0,0,0,0,0,1,5,NA,NA,NA,NA,1751.25
1,0,0,0,0,1,1,0,0,0,0,0,1,5,2144.92,NA,NA,NA,NA
1,0,0,0,0,1,1,0,0,0,0,0,1,5,28481.88,NA,NA,NA,NA
0,1,0,0,0,1,1,0,0,0,0,0,1,5,NA,16113.85,NA,NA,NA
1,0,0,0,0,1,1,0,0,0,0,0,1,5,1166.71,NA,NA,NA,NA
0,0,0,1,0,1,0,0,0,1,0,0,1,5,NA,NA,NA,1952.61,NA
0,0,0,1,0,1,0,0,0,1,0,0,1,5,NA,NA,NA,2154.49,NA
1,0,0,0,0,1,0,0,0,1,0,0,0,5,3872.4,NA,NA,NA,NA
0,0,0,0,1,1,0,0,0,1,0,0,1,5,NA,NA,NA,NA,3842.42
0,0,0,0,1,1,0,0,0,1,0,1,0,5,NA,NA,NA,NA,9234.2
0,1,0,0,0,1,0,0,0,1,0,0,0,5,NA,7282.22,NA,NA,NA
0,0,0,1,0,1,0,0,0,1,0,1,0,5,NA,NA,NA,12998.76,NA
0,0,0,0,1,1,0,0,0,0,1,0,0,5,NA,NA,NA,NA,2158.6
0,0,2,0,0,1,0,0,0,0,1,0,1,5,NA,NA,22707.5,NA,NA
0,0,2,0,0,1,0,0,0,0,1,1,0,5,NA,NA,1307.175,NA,NA
0,2,0,0,0,1,0,0,0,0,1,0,1,5,NA,5273.1,NA,NA,NA
0,1,0,0,0,1,0,0,0,0,1,0,0,5,NA,691.78,NA,NA,NA
1,0,0,0,0,1,0,0,0,0,1,0,1,5,30459.63,NA,NA,NA,NA
0,0,0,0,1,1,0,0,0,0,1,1,0,5,NA,NA,NA,NA,1637.52
1,0,0,0,0,1,0,0,0,0,1,1,0,5,24077,NA,NA,NA,NA
0,0,0,1,0,1,0,0,0,0,0,0,1,5,NA,NA,NA,4425.46,NA
